set_id,question_id,domain,objective,difficulty,type,question,option_a,option_b,option_c,option_d,option_e,option_f,correct,explanation,image_url,tags
Set01,Set01-Q021,Azure architecture & services,Storage redundancy,medium,single,Geographic disaster recovery across paired regions (read access optional):,GRS/RA-GRS,LRS,ZRS,GZRS,,,A,GRS replicates to a paired region; RA-GRS adds read access.,,redundancy;grs
Set01,Set01-Q022,Azure architecture & services,Databases,easy,single,Fully managed relational database service in Azure:,Azure SQL Database,Azure Cosmos DB,Azure Storage Tables,Azure Databricks,,,A,Azure SQL Database is PaaS for relational workloads.,,database;sql
Set01,Set01-Q023,Azure architecture & services,Databases,easy,single,"Globally distributed, multi-model NoSQL database:",Azure Cosmos DB,Azure SQL Database,Azure Database for MySQL,Azure Cache for Redis,,,A,Cosmos DB offers low latency and global distribution.,,database;cosmos
Set01,Set01-Q024,Azure architecture & services,Networking,medium,single,Connect on-premises to Azure over the public internet with encryption:,Site-to-Site VPN,ExpressRoute,VNet Peering,Private Link,,,A,S2S VPN uses IPSec tunnels over the internet.,,network;vpn
Set01,Set01-Q025,Azure architecture & services,Networking,easy,single,Private dedicated connection with predictable latency and higher throughput:,ExpressRoute,Site-to-Site VPN,Application Gateway,Azure Bastion,,,A,ExpressRoute provides private connectivity to Azure.,,network;expressroute
Set01,Set01-Q026,Azure architecture & services,Networking,easy,single,Filter inbound/outbound traffic at subnet/NIC level:,Network Security Groups,Azure Firewall,Azure Front Door,Traffic Manager,,,A,NSGs allow/deny traffic using rules.,,network;nsg
Set01,Set01-Q027,Azure management & governance,Governance & identity mixed,medium,multi,Select all true statements about Azure governance and identity (choose two).,Microsoft Sentinel is a SIEM/SOAR.,Tags provide network isolation.,Resource locks can prevent accidental delete.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set01,Set01-Q028,Azure management & governance,Identity & access,easy,single,The Microsoft cloud identity service for SSO and MFA is called:,Microsoft Entra ID,AD DS (on VMs),Kerberos,Local Accounts,,,A,Microsoft Entra ID (formerly Azure AD) provides SSO/MFA/Conditional Access.,,identity;entra
Set01,Set01-Q029,Azure management & governance,Identity & access,easy,single,Which controls who can do what on an Azure resource?,Azure RBAC,Azure Policy,Tags,Management Groups,,,A,RBAC defines roles/permissions for identities on resources.,,rbac
Set01,Set01-Q030,Azure management & governance,Governance & identity mixed,hard,multi,Select all true statements about Azure governance and identity (choose two).,Management Groups sit above subscriptions.,Tags provide network isolation.,Resource locks can prevent accidental delete.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set01,Set01-Q031,Azure management & governance,Governance & identity mixed,easy,multi,Select all true statements about Azure governance and identity (choose two).,RBAC controls who can do what on a resource.,Azure Policy grants user permissions.,"Key Vault stores secrets, keys, and certificates.",None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set01,Set01-Q032,Azure management & governance,Governance & identity mixed,easy,multi,Select all true statements about Azure governance and identity (choose two).,Microsoft Defender for Cloud provides security posture mgmt.,Azure Policy grants user permissions.,Reservations/Savings plans can lower compute costs.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set01,Set01-Q033,Azure management & governance,Governance & compliance,medium,single,Which enforces what can be deployed or how resources must be configured?,Azure Policy,Azure RBAC,Resource groups,Tags,,,A,Policy evaluates resource compliance and can deny noncompliant deployments.,,policy
Set01,Set01-Q034,Azure management & governance,Resource organization,easy,single,Best description of a Resource Group:,Logical container for resources with a lifecycle,A network isolation boundary,An Azure AD tenant,A billing account,,,A,Resource groups group related resources for deployment and lifecycle.,,resource-group
Set01,Set01-Q035,Azure management & governance,Governance & identity mixed,easy,multi,Select all true statements about Azure governance and identity (choose two).,Microsoft Purview catalogs and governs data.,Budgets change the price of services.,Azure Policy enforces allowed configurations and compliance.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set01,Set01-Q036,Azure management & governance,Governance & identity mixed,medium,multi,Select all true statements about Azure governance and identity (choose two).,RBAC controls who can do what on a resource.,Azure Policy grants user permissions.,Conditional Access can require MFA for specific apps.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set01,Set01-Q037,Azure management & governance,Resource organization,easy,single,What sits above subscriptions to apply policy at scale across many subscriptions?,Management Groups,Resource Groups,Tags,Resource Locks,,,A,Management Groups organize subscriptions and allow policy/RBAC inheritance.,,management-groups
Set01,Set01-Q038,Azure management & governance,Cost management,easy,single,Alert when monthly spend crosses thresholds:,Cost Management Budgets,Pricing Calculator,TCO Calculator,Azure Advisor,,,A,Budgets send alerts when spending exceeds thresholds.,,cost;budgets
Set01,Set01-Q039,Azure management & governance,Governance & identity mixed,medium,multi,Select all true statements about Azure governance and identity (choose two).,Azure Policy enforces allowed configurations and compliance.,NSGs manage user identities.,Microsoft Sentinel is a SIEM/SOAR.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set01,Set01-Q040,Azure management & governance,Cost management,hard,single,Tool to compare running workloads in Azure vs on-prem:,TCO Calculator,Pricing Calculator,Cost Analysis,Azure Advisor,,,A,TCO Calculator estimates total cost of ownership migration impact.,,tco
Set02,Set02-Q001,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Public cloud provides logical tenant isolation.,Scale up means adding more instances.,Disaster recovery helps restore services after major failures.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set02,Set02-Q002,Cloud concepts,Describe cloud benefits,easy,single,Moving to Azure typically shifts spending from what to what?,CapEx to OpEx,OpEx to CapEx,Fixed to Sunk,Variable to Fixed,,,A,"Cloud is consumption-based, usually OpEx instead of CapEx.",,benefits;pricing
Set02,Set02-Q003,Cloud concepts,Describe cloud benefits,medium,single,Which benefit means apps can handle spikes in load automatically?,Elasticity,Agility,Fault tolerance,Governance,,,A,Elasticity lets resources scale up/down automatically.,,benefits;elasticity
Set02,Set02-Q004,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Hybrid cloud combines on-prem and public cloud.,CapEx is pay-as-you-go.,Elasticity means automatic scaling based on demand.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set02,Set02-Q005,Cloud concepts,Shared responsibility,easy,single,"In a PaaS database, which is the customer's responsibility?",Data classification & access,OS patching,Physical security,Hypervisor patching,,,A,Provider manages platform; you manage data and identities.,,security;responsibility
Set02,Set02-Q006,Cloud concepts,Cloud concepts mixed,medium,multi,Select all true statements about cloud concepts (choose two).,Public cloud provides logical tenant isolation.,Shared responsibility is identical across IaaS and SaaS.,Cloud agility helps teams release features faster.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set02,Set02-Q007,Cloud concepts,Cloud types,easy,single,You need to keep some workloads on-prem but burst to Azure during peaks. Which model?,Hybrid cloud,Public cloud,Private cloud,Community cloud,,,A,Hybrid combines on-prem and public cloud and allows bursting.,,hybrid
Set02,Set02-Q008,Cloud concepts,Pricing & tools,easy,single,Which tool estimates monthly Azure costs before deployment?,Pricing Calculator,Cost Analysis,Budgets,Azure Advisor,,,A,Pricing Calculator is used pre-deployment for estimates.,,pricing
Set02,Set02-Q009,Cloud concepts,Cloud concepts mixed,medium,multi,Select all true statements about cloud concepts (choose two).,Disaster recovery helps restore services after major failures.,Scale up means adding more instances.,Economies of scale reduce per-unit costs.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set02,Set02-Q010,Cloud concepts,Reliability & resiliency,hard,single,"To increase resiliency within a region against datacenter failure, use — pick the best option:",Availability Zones,Resource groups,Tags,RBAC,,,A,Availability Zones are independent datacenters within a region.,,resiliency;az
Set02,Set02-Q011,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Disaster recovery helps restore services after major failures.,CapEx is pay-as-you-go.,Cloud agility helps teams release features faster.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set02,Set02-Q012,Azure architecture & services,Compute options,medium,single,Best fit for event-driven code with per-execution billing (no servers to manage):,Azure Functions,Azure Virtual Machines,Azure Kubernetes Service,VM Scale Sets,,,A,Functions are serverless and billed per execution.,,compute;functions
Set02,Set02-Q013,Azure architecture & services,Compute options,easy,single,You need OS-level control and custom software. Choose:,Azure Virtual Machines,Azure Functions,Azure App Service,Azure Container Instances,,,A,VMs provide full OS control.,,compute;iaas
Set02,Set02-Q014,Azure architecture & services,Containers,easy,single,Run many containers with automatic orchestration and scaling:,Azure Kubernetes Service,Azure Functions,Azure Batch,Azure Container Registry,,,A,AKS manages container orchestration using Kubernetes.,,containers;aks
Set02,Set02-Q015,Azure architecture & services,Containers,medium,single,Quickly run a single container without managing servers:,Azure Container Instances,Azure Kubernetes Service,Azure App Service,Azure VMs,,,A,ACI runs containers on-demand without orchestration.,,containers;aci
Set02,Set02-Q016,Azure architecture & services,Web hosting,easy,single,Managed platform for hosting web apps with built-in scaling and CI/CD:,Azure App Service,VM Scale Sets,Azure Batch,Azure Arc,,,A,App Service is PaaS for web and APIs.,,app-service
Set02,Set02-Q017,Azure architecture & services,Storage,easy,single,Service for storing unstructured data like images and PDFs:,Azure Blob Storage,Azure Files,Azure Disks,Azure Queue Storage,,,A,Blob Storage is object/unstructured storage.,,storage;blob
Set02,Set02-Q018,Azure architecture & services,Storage,medium,single,SMB-based shared storage for lift-and-shift of on-prem file shares:,Azure Files,Azure Blob Storage,Azure Queue Storage,Azure Table Storage,,,A,Azure Files provides SMB shares accessible from VMs and on-prem.,,storage;files
Set02,Set02-Q019,Azure architecture & services,Storage redundancy,easy,single,Cheapest redundancy within a single datacenter:,LRS,ZRS,GRS,RA-GRS,,,A,LRS keeps three copies in one datacenter.,,redundancy;lrs
Set02,Set02-Q020,Azure architecture & services,Storage redundancy,hard,single,High availability across multiple datacenters in a region:,ZRS,LRS,GRS,RA-GRS,,,A,ZRS replicates across availability zones.,,redundancy;zrs
Set02,Set02-Q021,Azure architecture & services,Storage redundancy,medium,single,Geographic disaster recovery across paired regions (read access optional):,GRS/RA-GRS,LRS,ZRS,GZRS,,,A,GRS replicates to a paired region; RA-GRS adds read access.,,redundancy;grs
Set02,Set02-Q022,Azure architecture & services,Databases,easy,single,Fully managed relational database service in Azure:,Azure SQL Database,Azure Cosmos DB,Azure Storage Tables,Azure Databricks,,,A,Azure SQL Database is PaaS for relational workloads.,,database;sql
Set02,Set02-Q023,Azure architecture & services,Databases,easy,single,"Globally distributed, multi-model NoSQL database:",Azure Cosmos DB,Azure SQL Database,Azure Database for MySQL,Azure Cache for Redis,,,A,Cosmos DB offers low latency and global distribution.,,database;cosmos
Set02,Set02-Q024,Azure architecture & services,Networking,medium,single,Connect on-premises to Azure over the public internet with encryption:,Site-to-Site VPN,ExpressRoute,VNet Peering,Private Link,,,A,S2S VPN uses IPSec tunnels over the internet.,,network;vpn
Set02,Set02-Q025,Azure architecture & services,Networking,easy,single,Private dedicated connection with predictable latency and higher throughput:,ExpressRoute,Site-to-Site VPN,Application Gateway,Azure Bastion,,,A,ExpressRoute provides private connectivity to Azure.,,network;expressroute
Set02,Set02-Q026,Azure architecture & services,Networking,easy,single,Filter inbound/outbound traffic at subnet/NIC level:,Network Security Groups,Azure Firewall,Azure Front Door,Traffic Manager,,,A,NSGs allow/deny traffic using rules.,,network;nsg
Set02,Set02-Q027,Azure management & governance,Governance & identity mixed,medium,multi,Select all true statements about Azure governance and identity (choose two).,Resource locks can prevent accidental delete.,Tags provide network isolation.,Reservations/Savings plans can lower compute costs.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set02,Set02-Q028,Azure management & governance,Identity & access,easy,single,The Microsoft cloud identity service for SSO and MFA is called:,Microsoft Entra ID,AD DS (on VMs),Kerberos,Local Accounts,,,A,Microsoft Entra ID (formerly Azure AD) provides SSO/MFA/Conditional Access.,,identity;entra
Set02,Set02-Q029,Azure management & governance,Governance & identity mixed,easy,multi,Select all true statements about Azure governance and identity (choose two).,Microsoft Sentinel is a SIEM/SOAR.,Resource groups are above subscriptions.,Reservations/Savings plans can lower compute costs.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set02,Set02-Q030,Azure management & governance,Identity & access,hard,single,Which controls who can do what on an Azure resource?,Azure RBAC,Azure Policy,Tags,Management Groups,,,A,RBAC defines roles/permissions for identities on resources.,,rbac
Set02,Set02-Q031,Azure management & governance,Governance & compliance,easy,single,Which enforces what can be deployed or how resources must be configured?,Azure Policy,Azure RBAC,Resource groups,Tags,,,A,Policy evaluates resource compliance and can deny noncompliant deployments.,,policy
Set02,Set02-Q032,Azure management & governance,Resource organization,easy,single,Best description of a Resource Group:,Logical container for resources with a lifecycle,A network isolation boundary,An Azure AD tenant,A billing account,,,A,Resource groups group related resources for deployment and lifecycle.,,resource-group
Set02,Set02-Q033,Azure management & governance,Resource organization,medium,single,What sits above subscriptions to apply policy at scale across many subscriptions?,Management Groups,Resource Groups,Tags,Resource Locks,,,A,Management Groups organize subscriptions and allow policy/RBAC inheritance.,,management-groups
Set02,Set02-Q034,Azure management & governance,Cost management,easy,single,Alert when monthly spend crosses thresholds:,Cost Management Budgets,Pricing Calculator,TCO Calculator,Azure Advisor,,,A,Budgets send alerts when spending exceeds thresholds.,,cost;budgets
Set02,Set02-Q035,Azure management & governance,Cost management,easy,single,Tool to compare running workloads in Azure vs on-prem:,TCO Calculator,Pricing Calculator,Cost Analysis,Azure Advisor,,,A,TCO Calculator estimates total cost of ownership migration impact.,,tco
Set02,Set02-Q036,Azure management & governance,Governance & identity mixed,medium,multi,Select all true statements about Azure governance and identity (choose two).,Management Groups sit above subscriptions.,Tags provide network isolation.,Microsoft Defender for Cloud provides security posture mgmt.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set02,Set02-Q037,Azure management & governance,Cost management,easy,single,Which option can reduce compute costs for 1–3 year commitments?,Reservations / Savings plans,DDoS Protection,NSGs,Availability Sets,,,A,Reservations & Savings Plans discount long-term usage.,,cost;reservations
Set02,Set02-Q038,Azure management & governance,Security,easy,single,Azure service that provides CSPM and workload protection with security recommendations:,Microsoft Defender for Cloud,Azure Firewall,NSGs,Azure Advisor,,,A,Defender for Cloud assesses posture and protections.,,security;defender
Set02,Set02-Q039,Azure management & governance,Governance & identity mixed,medium,multi,Select all true statements about Azure governance and identity (choose two).,RBAC controls who can do what on a resource.,Resource groups are above subscriptions.,Microsoft Entra ID enables SSO and MFA.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set02,Set02-Q040,Azure management & governance,Governance & identity mixed,hard,multi,Select all true statements about Azure governance and identity (choose two).,Reservations/Savings plans can lower compute costs.,Azure Policy grants user permissions.,Resource locks can prevent accidental delete.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
Set03,Set03-Q001,Cloud concepts,Describe cloud benefits,easy,single,Moving to Azure typically shifts spending from what to what?,CapEx to OpEx,OpEx to CapEx,Fixed to Sunk,Variable to Fixed,,,A,"Cloud is consumption-based, usually OpEx instead of CapEx.",,benefits;pricing
Set03,Set03-Q002,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Disaster recovery helps restore services after major failures.,"In SaaS, customers patch the OS.","In PaaS, providers manage the runtime and OS.",All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set03,Set03-Q003,Cloud concepts,Describe cloud benefits,medium,single,Which benefit means apps can handle spikes in load automatically?,Elasticity,Agility,Fault tolerance,Governance,,,A,Elasticity lets resources scale up/down automatically.,,benefits;elasticity
Set03,Set03-Q004,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Cloud agility helps teams release features faster.,Availability Zones are the same as regions.,Elasticity means automatic scaling based on demand.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set03,Set03-Q005,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Economies of scale reduce per-unit costs.,Scale up means adding more instances.,Public cloud provides logical tenant isolation.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set03,Set03-Q006,Cloud concepts,Cloud concepts mixed,medium,multi,Select all true statements about cloud concepts (choose two).,"In PaaS, providers manage the runtime and OS.","In SaaS, customers patch the OS.",Hybrid cloud combines on-prem and public cloud.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set03,Set03-Q007,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Cloud agility helps teams release features faster.,"In SaaS, customers patch the OS.",Disaster recovery helps restore services after major failures.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set03,Set03-Q008,Cloud concepts,Shared responsibility,easy,single,"In a PaaS database, which is the customer's responsibility?",Data classification & access,OS patching,Physical security,Hypervisor patching,,,A,Provider manages platform; you manage data and identities.,,security;responsibility
Set03,Set03-Q009,Cloud concepts,Cloud concepts mixed,medium,multi,Select all true statements about cloud concepts (choose two).,Public cloud provides logical tenant isolation.,Shared responsibility is identical across IaaS and SaaS.,Economies of scale reduce per-unit costs.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set03,Set03-Q010,Cloud concepts,Cloud types,hard,single,You need to keep some workloads on-prem but burst to Azure during peaks. Which model? — choose the best.,Hybrid cloud,Public cloud,Private cloud,Community cloud,,,A,Hybrid combines on-prem and public cloud and allows bursting.,,hybrid
Set03,Set03-Q011,Cloud concepts,Pricing & tools,easy,single,Which tool estimates monthly Azure costs before deployment? — choose the best.,Pricing Calculator,Cost Analysis,Budgets,Azure Advisor,,,A,Pricing Calculator is used pre-deployment for estimates.,,pricing
Set03,Set03-Q012,Azure architecture & services,Compute options,medium,single,Best fit for event-driven code with per-execution billing (no servers to manage):,Azure Functions,Azure Virtual Machines,Azure Kubernetes Service,VM Scale Sets,,,A,Functions are serverless and billed per execution.,,compute;functions
Set03,Set03-Q013,Azure architecture & services,Compute options,easy,single,You need OS-level control and custom software. Choose:,Azure Virtual Machines,Azure Functions,Azure App Service,Azure Container Instances,,,A,VMs provide full OS control.,,compute;iaas
Set03,Set03-Q014,Azure architecture & services,Containers,easy,single,Run many containers with automatic orchestration and scaling:,Azure Kubernetes Service,Azure Functions,Azure Batch,Azure Container Registry,,,A,AKS manages container orchestration using Kubernetes.,,containers;aks
Set03,Set03-Q015,Azure architecture & services,Containers,medium,single,Quickly run a single container without managing servers:,Azure Container Instances,Azure Kubernetes Service,Azure App Service,Azure VMs,,,A,ACI runs containers on-demand without orchestration.,,containers;aci
Set03,Set03-Q016,Azure architecture & services,Web hosting,easy,single,Managed platform for hosting web apps with built-in scaling and CI/CD:,Azure App Service,VM Scale Sets,Azure Batch,Azure Arc,,,A,App Service is PaaS for web and APIs.,,app-service
Set03,Set03-Q017,Azure architecture & services,Storage,easy,single,Service for storing unstructured data like images and PDFs:,Azure Blob Storage,Azure Files,Azure Disks,Azure Queue Storage,,,A,Blob Storage is object/unstructured storage.,,storage;blob
Set03,Set03-Q018,Azure architecture & services,Storage,medium,single,SMB-based shared storage for lift-and-shift of on-prem file shares:,Azure Files,Azure Blob Storage,Azure Queue Storage,Azure Table Storage,,,A,Azure Files provides SMB shares accessible from VMs and on-prem.,,storage;files
Set03,Set03-Q019,Azure architecture & services,Storage redundancy,easy,single,Cheapest redundancy within a single datacenter:,LRS,ZRS,GRS,RA-GRS,,,A,LRS keeps three copies in one datacenter.,,redundancy;lrs
Set03,Set03-Q020,Azure architecture & services,Storage redundancy,hard,single,High availability across multiple datacenters in a region:,ZRS,LRS,GRS,RA-GRS,,,A,ZRS replicates across availability zones.,,redundancy;zrs
Set03,Set03-Q021,Azure architecture & services,Storage redundancy,medium,single,Geographic disaster recovery across paired regions (read access optional):,GRS/RA-GRS,LRS,ZRS,GZRS,,,A,GRS replicates to a paired region; RA-GRS adds read access.,,redundancy;grs
Set03,Set03-Q022,Azure architecture & services,Databases,easy,single,Fully managed relational database service in Azure:,Azure SQL Database,Azure Cosmos DB,Azure Storage Tables,Azure Databricks,,,A,Azure SQL Database is PaaS for relational workloads.,,database;sql
Set03,Set03-Q023,Azure architecture & services,Databases,easy,single,"Globally distributed, multi-model NoSQL database:",Azure Cosmos DB,Azure SQL Database,Azure Database for MySQL,Azure Cache for Redis,,,A,Cosmos DB offers low latency and global distribution.,,database;cosmos
Set03,Set03-Q024,Azure architecture & services,Networking,medium,single,Connect on-premises to Azure over the public internet with encryption:,Site-to-Site VPN,ExpressRoute,VNet Peering,Private Link,,,A,S2S VPN uses IPSec tunnels over the internet.,,network;vpn
Set03,Set03-Q025,Azure architecture & services,Networking,easy,single,Private dedicated connection with predictable latency and higher throughput:,ExpressRoute,Site-to-Site VPN,Application Gateway,Azure Bastion,,,A,ExpressRoute provides private connectivity to Azure.,,network;expressroute
Set03,Set03-Q026,Azure architecture & services,Networking,easy,single,Filter inbound/outbound traffic at subnet/NIC level:,Network Security Groups,Azure Firewall,Azure Front Door,Traffic Manager,,,A,NSGs allow/deny traffic using rules.,,network;nsg
Set03,Set03-Q027,Azure management & governance,Governance & identity mixed,medium,multi,Select all true statements about Azure governance and identity (choose two).,Conditional Access can require MFA for specific apps.,Budgets change the price of services.,Management Groups sit above subscriptions.,None of the above,,,A;C,RBAC=who can do what; Policy=compliance; MGs above subscriptions; Tags/Locks/Cost tools behave as described.,,governance;identity
